日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
6/01,[約聘] 會計約聘助理 _歡迎實習/工讀/二度就業/中壯齡 (20002M),四零四科技股份有限公司,新北市新店區寶橋路235巷135號4樓,175~200,Major Areas of Responsibility 1.各式單據/憑證歸檔及檔案室整理 2.輸入出口零稅率報單資料並整理歸檔3.檢查出口運費憑證及過帳4.驗證進貨發票憑證及歸檔 .輸入旅遊補助傳票 6.進貨退出及折讓單據檢查及歸檔 7.其他傳票輸入8.其他主管交辦事項。,新北市新店區,經歷不拘,專科,員工1300人,6mlev,www.104.com.tw/job/6mlev?jobsource=2018indexpoc
6/01,存匯櫃台人員【大台北地區】,上海商業儲蓄銀行股份有限公司,台北市中正區派任地點視需求為雙北地區,"36,300","若經錄取，以4職等任用，學士學歷每月薪資含膳費NT$36,300、碩士學歷每月薪資含膳費NT$38,600",台北市中正區,經歷不拘,大學,員工2300人,6y6nu,www.104.com.tw/job/6y6nu?jobsource=2018indexpoc
6/04,證券部主管,美怡投資有限公司,台北市松山區敦化北路167號4樓,待遇面議,1. 國內股票投資部位管理。 2. 產業及個股研究分析。3. 帶領部門進行股票操盤及下單。,台北市松山區,10年以上,大學,,6shg5,www.104.com.tw/job/6shg5?jobsource=2018indexpoc
6/05,台股研究員,亞東證券股份有限公司,新北市板橋區新站路16號14樓,"33,000",國際股匯債總經分析、國內股票產業及個股研究。,新北市板橋區,經歷不拘,碩士,員工195人,203fz,www.104.com.tw/job/203fz?jobsource=2018indexpoc
5/04,法人業務員,國票綜合證券股份有限公司,台北市松山區,"30,000",1.負責台股以外的海外公司約訪及公司拜訪記錄撰寫。2.與國外資訊廠商聯絡溝通。,台北市松山區,經歷不拘,大學,員工1056人,6ohl9,www.104.com.tw/job/6ohl9?jobsource=2018indexpoc
6/01,存匯櫃台人員【高雄地區】,上海商業儲蓄銀行股份有限公司,高雄市苓雅區派任地點視需求為高雄屏東地區,"36,300","若經錄取，以4職等任用，學士學歷每月薪資含膳費NT$36,300、碩士學歷每月薪資含膳費NT$38,600",高雄市苓雅區,經歷不拘,大學,員工2300人,6y6od,www.104.com.tw/job/6y6od?jobsource=2018indexpoc
5/27,財富規劃高級顧問,百富環球策略資產管理顧問有限公司,台北市中山區松江路168號12樓,"23,800",百富誠摯邀請有能力的您前往了解....【制度透明，薪獎優渥，累積獎金不歸零】香港百麗金融集團目前在中國前海、香港、紐西蘭、澳洲、台灣都有據點....http://www.best-leader.com/歡迎您正式進入國際金融產業，,台北市中山區,經歷不拘,大學,員工60人,6wzte,www.104.com.tw/job/6wzte?jobsource=jolist_c_relevance
6/03,理財人員(嘉義縣市全區),華南商業銀行股份有限公司,嘉義市,待遇面議,際業績統計報表等足資證明理財業務能力之文件。◎銀行櫃台人員金融商品轉介銷售經驗相關年資不予採認。3.專業證照：須同時具備下列各項測驗合格證明書：(1)「信託業業務人員信託業務專業測驗」或「信託業業務人員信託業務專業測驗(信託法規乙科,嘉義市,3年以上,專科,上市上櫃,6gzev,www.104.com.tw/job/6gzev?jobsource=jolist_c_relevance
6/03,初階理財人員(嘉義縣全區),華南商業銀行股份有限公司,嘉義市,"37,000", ◎銀行櫃台人員金融商品轉介銷售經驗相關年資不予採認。 3.專業證照： 須同時具備下列各項測驗合格證明書： (1)「信託業業務人員信託業務專業測驗」或「信託業業務人員信託業務專業測驗(信託法規乙科)」 (2)「證券商高級業務,嘉義市,2年以上,專科,上市上櫃,6gzfh,www.104.com.tw/job/6gzfh?jobsource=jolist_c_relevance
6/05,兼職-汽車貸款送件窗口(歡迎二度就業者-在家就可以工作),穩誠行銷有限公司,台北市中山區松江路220號,"25,000",1.開發客群及拓展汽車貸款市場 2.依造客戶需求協助專案搭配與調整3.備有相關貸款客戶維繫並詢問需求《需自備電話，全省皆可收件!!!》 -----------------------------------------------------------------------------------,台北市中山區,經歷不拘,學歷不拘,員工25人,5px4b,www.104.com.tw/job/5px4b?jobsource=jolist_c_relevance
6/01,存匯櫃台人員【桃竹地區】,上海商業儲蓄銀行股份有限公司,桃園市桃園區派任地點視需求為桃竹地區,"36,300","若經錄取，以4職等任用，學士學歷每月薪資含膳費NT$36,300、碩士學歷每月薪資含膳費NT$38,600",桃園市桃園區,經歷不拘,大學,員工2300人,6y6o8,www.104.com.tw/job/6y6o8?jobsource=jolist_c_relevance
4/30,投資_投資管理人員,中國信託商業銀行股份有限公司,台北市南港區,"30,000",1. 投資管理行政2. 遵法/內控執行,台北市南港區,1年以上,大學,員工25000人,6u4ub,www.104.com.tw/job/6u4ub?jobsource=jolist_c_relevance
