日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-06-02,助理業務AO-竹北分行,台中商業銀行股份有限公司,台中市西區民權路,"31,500","1.大學以上畢業，英文能力佳。2.具熱忱及抗壓性，有志從事銀行業務行銷者。3.持有汽車或機車駕照。4.負責蒐集與檢視各項徵授信資料，撰寫徵授信報告，協助辦理授信貸後管理，掌握客戶動態與經營狀況，提供客戶完善服務維繫良好顧客關係，以培養銀行業務行銷能力。5.月薪為35,000，試用期間(含試用期滿當月)支給月薪津為31,500元。6.另供應午餐或發給2,400元(視所屬單位規定)。7.如具金融相關工作經驗者，依薪資證明、相關證照等條件，另彈性敘薪進用。要求條件 ● 擁有 普通重機車 駕照",新竹縣竹北市,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91457206/
2020-06-02,助理業務AO-(西台中分行),台中商業銀行股份有限公司,台中市西區民權路,"31,500","1.大學以上畢業，英文能力佳。2.具熱忱及抗壓性，有志從事銀行業務行銷者。3.持有汽車或機車駕照。4.負責蒐集與檢視各項徵授信資料，撰寫徵授信報告，協助辦理授信貸後管理，掌握客戶動態與經營狀況，提供客戶完善服務維繫良好顧客關係，以培養銀行業務行銷能力。5.月薪為35,000，試用期間(含試用期滿當月)支給月薪津為31,500元。6.另供應午餐或發給2,400元(視所屬單位規定)。7.如具金融相關工作經驗者，依薪資證明、相關證照等條件，另彈性敘薪進用。要求條件 ● 擁有 普通重機車 駕照",台中市西區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91416490/
2020-06-02,助理業務AO-二林分行,台中商業銀行股份有限公司,台中市西區民權路,"31,500","1.大學以上畢業，英文能力佳。2.具熱忱及抗壓性，有志從事銀行業務行銷者。3.持有汽車或機車駕照。4.負責蒐集與檢視各項徵授信資料，撰寫徵授信報告，協助辦理授信貸後管理，掌握客戶動態與經營狀況，提供客戶完善服務維繫良好顧客關係，以培養銀行業務行銷能力。5.月薪為35,000，試用期間(含試用期滿當月)支給月薪津為31,500元。6.另供應午餐或發給2,400元(視所屬單位規定)。7.如具金融相關工作經驗者，依薪資證明、相關證照等條件，另彈性敘薪進用。要求條件 ● 擁有 普通重機車 駕照",彰化縣二林鎮,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/85943003/
2020-06-02,助理業務AO-(板橋、三重分行)新北地區,台中商業銀行股份有限公司,台中市西區民權路,"31,500","1.大學以上畢業，英文能力佳。2.具熱忱及抗壓性，有志從事銀行業務行銷者。3.持有汽車或機車駕照。4.負責蒐集與檢視各項徵授信資料，撰寫徵授信報告，協助辦理授信貸後管理，掌握客戶動態與經營狀況，提供客戶完善服務維繫良好顧客關係，以培養銀行業務行銷能力。5.月薪為35,000，試用期間(含試用期滿當月)支給月薪津為31,500元。6.另供應午餐或發給2,400元(視所屬單位規定)。7.如具金融相關工作經驗者，依薪資證明、相關證照等條件，另彈性敘薪進用。要求條件 ● 擁有 普通重機車 駕照",新北市三重區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/85903972/
2020-06-05,數位科技應用人員(證券經紀事業處),日盛金融控股股份有限公司,日盛金控,面議（經常性薪資4萬/月含以上）,"1. 多媒體動畫設計師，製作多媒體素材及網頁行銷內容的基本素材2. 主要職務為動畫製作，有網頁設計能力更好3. 需具備手繪人物創作設計4. 掌控專案進度執行與團隊合作5. 日盛動畫多媒體設計可參考 https://reurl.cc/R42NZZ要求條件 ● 藝術學門,大眾傳播學門 相關科系",台北市中山區,3年工作經驗以上,"專科,大學",https://www.1111.com.tw/job/91504426/
2020-06-05,"RB - 信貸電話行銷專員 (保障月薪3萬起，享有銀行正式員工福利, 獎金優渥!) (正職/台北市)",渣打國際商業銀行股份有限公司,台北市松山區敦化北路,"30,000",品牌佳-擠身國際級金融機構產品優-量身訂做多元專案產品，滿足各類客群需求，不論是專業菁英、百大企業受薪員工、有殼一族、企業主…等皆有合適產品起薪高-保障月薪30000起獎金優-不扣除基本產能，且不論您是擅長衝額度、利率或件數，都有賺高獎的機會旅遊讚-公司買單帶您前進英倫，環遊世界活動多-不定期舉辦競賽活動，機票、旅遊、禮券任您賺休假多-重視工作生活平衡，年休假10天起跳，外加3天志工假。福利棒-員工優惠存款、三節禮金、旅遊補助、學習補助、擴及眷屬的團體保險訓練強-完善專業產品知識及銷售技巧的訓練，配合講師課後關懷，確保訓練成效輕鬆打-公司提供既有客戶名單，無須外出開發客源，免交通費及交際成本，不用風吹日曬雨淋交通便利-捷運中山國中站對面發展廣-調薪、升遷各憑本事，不再死守低底薪。內部轉調無年限限制，重視員工職涯發展● 徵求條件：- 高中職(含)以上畢業學歷。- 有銀行「電話行銷」或「信貸業務」經驗者尤佳。- 無經驗可，只要你口才反應佳、坐得住、能抗壓、有賺大錢的決心，公司提供銷售技能與商品知識訓練。,台北市松山區,1年工作經驗以上,"高中職,專科,大學",https://www.1111.com.tw/job/79571640/
2020-06-05,.Net程式設計師-行政系統,日盛金融控股股份有限公司,日盛金控,面議（經常性薪資4萬/月含以上）,後勤行政單位之專案開發與系統維護,台北市中山區,3年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91466424/
2020-06-05,.net 程式設計師 (流程開發),日盛金融控股股份有限公司,日盛金控,面議（經常性薪資4萬/月含以上）,1. 瞭解各使用需求單位對資訊服務的需求，並建議最佳作業方式。2. 規劃並撰寫系統需求、規格書及計畫書。3. 開發網站應用程式（Web-based application）。4. 維護資料庫管理系統，確保資料的安全性。要求條件 ● PMP國際專案管理師 專業憑證,台北市中山區,2年工作經驗以上,"大學,碩士,博士",https://www.1111.com.tw/job/79648688/
2020-06-02,台東分行-經驗行員,陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000",1.專科以上學歷畢業。2.具1年以上銀行經驗。3.曾任存匯、消企金放款、徵授信、理財、外匯等相關經驗。4.具業務推展能力尤佳。5.具金融相關證照。,台東縣卑南鄉,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/77331545/
2020-06-05,個人信貸專員,三信商業銀行股份有限公司,台中市中區市府路,"24,000",活潑、外向，喜歡業務開發工作。,台中市北區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636505/
