日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-07-05,營業員-東湖分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市內湖區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769439/
2020-07-05,營業員-台南分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台南市中西區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769432/
2020-07-05,營業員-板橋分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市板橋區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769409/
2020-07-05,營業員-彰化分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",彰化縣彰化市,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769404/
2020-07-05,營業員-中山分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中山區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769403/
2020-07-05,營業員-台中分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市西區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769391/
2020-07-05,營業員-天母分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市士林區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769384/
2020-07-05,營業員-大安分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市大安區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769379/
2020-07-05,營業員-三民分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",高雄市三民區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769373/
2020-07-05,營業員-丹鳳分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市新莊區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769363/
