日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
7/08,新光銀行-消費金融業務人員(三峽分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),新北市三峽區復興路45號,"30,000",♦ 開拓新目標客戶、建立潛在客戶檔案、主動行銷消金商品並定期檢視成果，以達成業務目標♦ 深耕舊客戶提供金融商品諮詢服務，適時推介客戶需要之其他金融商品或進行業務轉介，以擴大業務量♦ 瞭解客戶背景、信用狀況及資金需求，以提升分行消金授信品質及避免不良債權的發生♦ 確認客戶申請案件內容正確性、及時執行核貸後相關作業，以提昇作業效率,新北市三峽區,經歷不拘,專科,上市上櫃,4tyuv,www.104.com.tw/job/4tyuv?jobsource=2018indexpoc
6/26,柬埔寨金融業務人員,匯豐全球資產管理股份有限公司,柬埔寨金邊市,待遇面議,"由資深銀行主管帶領拓展各項信託業務 , 不但能拓展人脈, 並能夠藉此深入了解當地金融及不動產相關市場.",柬埔寨,經歷不拘,專科,,6sgr4,www.104.com.tw/job/6sgr4?jobsource=2018indexpoc
6/30,新光投信- 通路基金理財專員（台北）,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市中山區南京東路2段123號12樓,"30,000",1.新壽投資型商品之推廣2.負責通路獎勵與專案推動協調3.商品推動與訓練4.支援業務推動、講座或專案活動之安排與規劃,台北市中山區,2年以上,大學,上市上櫃,6sz8k,www.104.com.tw/job/6sz8k?jobsource=2018indexpoc
6/11,新光人壽-新事業發展分析師(英文佳、熟M&A),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市中正區忠孝西路一段66號,待遇面議,1.負責新光相關企業於海外布局發展之投資專案(標的以金融業為主，主要透過股權投資/併購、JV等方式)2.專案之產業研究、股權估值、財務分析、報告撰寫，及協助推動專案所需之聯繫/溝通/協調3.其他主管交辦事項,台北市中正區,3年以上,大學,上市上櫃,5lyvj,www.104.com.tw/job/5lyvj?jobsource=2018indexpoc
7/06,程式設計師(金融系統部),寶碩財務科技股份有限公司,新竹市科學園區研發二路19號2樓,待遇面議,金融相關資訊系統程式開發及設計,新竹市,經歷不拘,專科,上市上櫃,3pwhv,www.104.com.tw/job/3pwhv?jobsource=2018indexpoc
7/08,新光銀行-理財專員(基隆分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),基隆市中正區基隆市仁一路259號,"35,000",1.根據一般理財客戶需求及風險接受狀況，建議及銷售既有金融理財各項商品，以達成個人業務目標2.隨時掌握股市與經濟資訊脈動，定期檢視客戶資產組合，適時推薦最適合之金融商品與服務，並適時處理業務轉介，以深耕客戶關係並達成業務目標3.執行各項理財專,基隆市中正區,1年以上,大學,上市上櫃,4s1gp,www.104.com.tw/job/4s1gp?jobsource=2018indexpoc
7/08,新光銀行-理財專員(永安分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台中市西屯區西屯路三段159-75號,待遇面議,1.根據一般理財客戶需求及風險接受狀況，建議及銷售既有金融理財各項商品，以達成個人業務目標。2.隨時掌握股市與經濟資訊脈動，定期檢視客戶資產組合，適時推薦最適合之金融商品與服務，並適時處理業務轉介，以深耕客戶關係並達成業務目標3.執行各項理財,台中市西屯區,1年以上,大學,上市上櫃,6l2ml,www.104.com.tw/job/6l2ml?jobsource=2018indexpoc
7/08,新光銀行-理財專員(永康分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台南市永康區台南市永康區中正南路659號,"35,000",1.根據一般理財客戶需求及風險接受狀況，建議及銷售既有金融理財各項商品，以達成個人業務目標。2.隨時掌握股市與經濟資訊脈動，定期檢視客戶資產組合，適時推薦最適合之金融商品與服務，並適時處理業務轉介，以深耕客戶關係並達成業務目標3.執行各項理財,台南市永康區,1年以上,大學,上市上櫃,6mo1j,www.104.com.tw/job/6mo1j?jobsource=2018indexpoc
7/08,新光銀行-理財專員(中正分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市中正區信義路2段27號,"35,000",1.根據一般理財客戶需求及風險接受狀況，建議及銷售既有金融理財各項商品，以達成個人業務目標。.2.隨時掌握股市與經濟資訊脈動，定期檢視客戶資產組合，適時推薦最適合之金融商品與服務，並適時處理業務轉介，以深耕客戶關係並達成業務目標3.執行各項理,台北市中正區,1年以上,大學,上市上櫃,61bky,www.104.com.tw/job/61bky?jobsource=2018indexpoc
7/07,金融業務處 - 業務代表,宏燁資訊股份有限公司,台北市中正區北平東路30號7樓,"30,000",1. 金融產業客戶開發及拜訪2. 對資訊系統整合及金融應用系統推廣有興趣者,台北市中正區,2年以上,專科,員工130人,2pgty,www.104.com.tw/job/2pgty?jobsource=2018indexpoc
